month,category,issued_projects
2026-01,ADU,125
2026-01,Kitchen,62
2026-01,Bathroom,104
2026-01,Roofing,12
2026-01,General remodel,135
2026-02,ADU,99
2026-02,Kitchen,41
2026-02,Bathroom,79
2026-02,Roofing,8
2026-02,General remodel,112
2026-03,ADU,138
2026-03,Kitchen,65
2026-03,Bathroom,106
2026-03,Roofing,8
2026-03,General remodel,141
2026-04,ADU,114
2026-04,Kitchen,57
2026-04,Bathroom,97
2026-04,Roofing,12
2026-04,General remodel,136
2026-05,ADU,105
2026-05,Kitchen,60
2026-05,Bathroom,108
2026-05,Roofing,8
2026-05,General remodel,144
2026-06,ADU,103
2026-06,Kitchen,68
2026-06,Bathroom,97
2026-06,Roofing,10
2026-06,General remodel,122
2026-07,ADU,112
2026-07,Kitchen,65
2026-07,Bathroom,134
2026-07,Roofing,5
2026-07,General remodel,163
2026-08,ADU,95
2026-08,Kitchen,60
2026-08,Bathroom,109
2026-08,Roofing,3
2026-08,General remodel,140
2026-09,ADU,15
2026-09,Kitchen,14
2026-09,Bathroom,25
2026-09,Roofing,1
2026-09,General remodel,36
